,Rhyme,Kind,Line count
91,"['Out then spake an aged Moor', 'In these words the king before,', ""'Wherefore call on us, oh King?"", ""What may mean this gathering?'""]",aabb,4
92,"[""'Friends! ye have, alas! to know"", 'Of a most disastrous blow;', 'That the Christians, stern and bold,', ""Have obtain'd Albania's hold.'""]",aabb,4
93,"['Out then spake old Alfaqui,', 'With his beard so white to see,', ""'Good King! thou art justly served,"", 'Good King! this thou hast deserved.']",aabb,4
94,"[""'By thee were slain, in evil hour,"", ""The Abencerrage, Granada's flower;"", 'And strangers were received by thee', 'Of Cordova the Chivalry.']",aabb,4
95,"[""'And for this, oh King! is sent"", 'On thee a double chastisement:', 'Thee and thine, thy crown and realm,', 'One last wreck shall overwhelm.']",aabb,4
96,"[""'He who holds no laws in awe,"", 'He must perish by the law;', 'And Granada must be won,', ""And thyself with her undone.'""]",aabb,4
97,"[""Fire Crashed from out the old Moor's eyes,"", ""The Monarch's wrath began to rise,"", ""Because he answer'd, and because"", 'He spake exceeding well of laws.']",aabb,4
98,"[""'There is no law to say such things"", 'As may disgust the ear of kings:', ""'Thus, snorting with his choler, said"", ""The Moorish King, and doom'd him dead.""]",aabb,4
99,"['Moor Alfaqui! Moor Alfaqui!', 'Though thy beard so hoary be,', 'The King hath sent to have thee seized,', ""For Alhama's loss displeased.""]",aabb,4
100,"['And to fix thy head upon', ""High Alhambra's loftiest stone;"", 'That thus for thee should be the law,', 'And others tremble when they saw.']",aabb,4
101,"[""'Cavalier, and man of worth!"", 'Let these words of mine go forth!', 'Let the Moorish Monarch know,', 'That to him I nothing owe.']",aabb,4
102,"[""'But on my soul Alhama weighs,"", 'And on my inmost spirit preys;', 'And if the King his land hath lost,', 'Yet others may have lost the most.']",aabb,4
103,"[""'Sires have lost their children, wives"", 'Their lords, and valiant men their lives!', 'One what best his love might claim', 'Hath lost, another wealth, or fame.']",aabb,4
104,"[""'I lost a damsel in that hour,"", 'Of all the land the loveliest flower;', 'Doubloons a hundred I would pay,', ""And think her ransom cheap that day.'""]",aabb,4
105,"['And as these things the old Moor said,', ""They sever'd from the trunk his head;"", ""And to the Alhambra's wall with speed"", ""'Twas carried, as the King decreed.""]",aabb,4
106,"['And men and infants therein weep', 'Their loss, so heavy and so deep;', ""Granada's ladies, all she rears"", 'Within her walls, burst into tears.']",aabb,4
107,"[""And from the windows o'er the walls"", 'The sable web of mourning falls;']",aabb,2
108,"['If you were born before yesterday,', ""Surely you've heard about Tailor Nils, who flaunts him so gay."", ""If it's more than a week that you've been here,"", ""Surely you've heard how Knut Storedragen got a lesson severe.""]",aabb,4
109,"[""Up on the barn of Ola-Per Kviste after a punchin':"", '""When Nils heaves you again, take with you some luncheon.""', 'Hans Bugge, he was a man so renowned,', 'Haunting ghosts of his name spread alarm all around.']",aabb,4
110,"['""Tailor Nils, where you wish to lie, now declare!', 'On that spot will I spit and lay your head right there.""--', '""Oh, just come up so near, that I know you by the scent!', 'Think not that by your jaw to earth I shall be bent!""']",aabb,4
111,"[""When first they met, 't was scarce a bout at all,"", 'Neither man was ready yet to try to get a fall.', 'The second time Hans Bugge slipped his hold.', '""Are you tired now, Hans Bugge?  The dance will soon be bold.""']",aabb,4
112,"['The third time Hans fell headlong, and forth the blood did spurt.', '""Why spit you now so much, man?"" -- ""Oh my, that fall did hurt!""--', 'Saw you a tree casting shadows on new-fallen snow?', 'Saw you Nils on a maiden smiling glances bestow?']",aabb,4
113,"['Have you seen Tailor Nils when the dance he commences?', ""Are you a maiden, then go!--It's too late, when you've lost your senses.""]",aabb,2
114,"['Listen, ladies, while I sing', 'The ballad of John Henry King.', 'John Henry was a bachelor,', 'His age was thirty-three or four.']",aabb,4
115,"['Two maids for his affection vied,', 'And each desired to be his bride,', 'And bravely did they strive to bring', 'Unto their feet John Henry King.']",aabb,4
116,"['John Henry liked them both so well,', 'To save his life he could not tell', 'Which he most wished to be his bride,', 'Nor was he able to decide.']",aabb,4
117,"['Fair Kate was jolly, bright, and gay,', 'And sunny as a summer day;', 'Marie was kind, sedate, and sweet,', 'With gentle ways and manners neat.']",aabb,4
118,"['Each was so dear that John confessed', 'He could not tell which he liked best.', 'He studied them for quite a year,', 'And still found no solution near,']",aabb,4
119,"['And might have studied two years more', 'Had he not, walking on the shore,', 'Conceived a very simple way', 'Of ending his prolonged delay']",aabb,4
120,"['A way in which he might decide', 'Which of the maids should be his bride.', 'He said, ""I\'ll toss into the air', ""A dollar, and I'll toss it fair;""]",aabb,4
121,"[""If heads come up, I'll wed Marie;"", 'If tails, fair Kate my bride shall be.""', 'Then from his leather pocket-book', 'A dollar bright and new he took;']",aabb,4
122,"['He kissed one side for fair Marie,', 'The other side for Kate kissed he.', 'Then in a manner free and fair', 'He tossed the dollar in the air.']",aabb,4
123,"['""Ye fates,"" he cried, ""pray let this be', 'A lucky throw indeed for me!""', 'The dollar rose, the dollar fell;', 'He watched its whirling transit well,']",aabb,4
124,"['And off some twenty yards or more', 'The dollar fell upon the shore.', 'John Henry ran to where it struck', 'To see which maiden was in luck.']",aabb,4
125,"['But, oh, the irony of fate!', 'Upon its edge the coin stood straight!', 'And there, embedded in the sand,', 'John Henry let the dollar stand!']",aabb,4
126,"['And he will tempt his fate no more,', 'But live and die a bachelor.', 'Thus, ladies, you have heard me sing', 'The ballad of John Henry King.']",aabb,4
127,"['Who went on a mission across the sea', 'To borrow some money for you and me.', 'This G. R. Dibbs was a stalwart man', 'Who was built on a most extensive plan,']",aabb,4
128,"['And a regular staunch Republican.', 'But he fell in the hands of the Tory crew', 'Who said, ""It\'s a shame that a man like you', 'Should teach Australia this nasty view.']",aabb,4
129,"['""From her mother\'s side she should ne\'er be gone,', 'And she ought to be glad to be smiled upon,', 'And proud to be known as our hanger-on.""', 'And G. R. Dibbs, he went off his peg']",aabb,4
130,"['At the swells who came for his smiles to beg', 'And the Prince of Wales -- who was pulling his leg', 'And he told them all when the wine had flown,', '""The Australian has got no land of his own,']",aabb,4
131,"['His home is England, and there alone.""', 'So he strutted along with the titled band', 'And he sold the pride of his native land', 'For a bow and a smile and a shake of the hand.']",aabb,4
132,"['And the Tory drummers they sit and call:', '""Send over your leaders great and small;', ""For the price is low, and we'll buy them all"", '""With a tinsel title, a tawdry star']",aabb,4
133,"['Of a lower grade than our titles are,', 'And a puff at a prince\'s big cigar.""', 'And the Tories laugh till they crack their ribs', 'When they think how they purchased G. R. Dibbs.']",aabb,4
134,"['“There must be some way out of here,” said the joker to the thief', '“There’s too much confusion, I can’t get no relief', 'Businessmen, they drink my wine, plowmen dig my earth', 'None of them along the line know what any of it is worth”']",aabb,4
135,"['“No reason to get excited,” the thief, he kindly spoke', '“There are many here among us who feel that life is but a joke', 'But you and I, we’ve been through that, and this is not our fate', 'So let us not talk falsely now, the hour is getting late”']",aabb,4
136,"['All along the watchtower, princes kept the view', 'While all the women came and went, barefoot servants, too', 'Well Georgia Sam he had a bloody nose', 'Welfare Department they wouldn’t give him no clothes']",aabb,4
137,"['He asked poor Howard where can I go', 'Howard said there’s only one place I know', 'Sam said tell me quick man I got to run', 'Ol’ Howard just pointed with his gun']",aabb,4
138,"['Well Mack the Finger said to Louie the King', 'I got forty red, white and blue shoestrings', 'And a thousand telephones that don’t ring', 'Do you know where I can get rid of these things']",aabb,4
139,"['And Louie the King said let me think for a minute son', 'And he said yes I think it can be easily done', 'Now the fifth daughter on the twelfth night', 'Told the first father that things weren’t right']",aabb,4
140,"['My complexion she said is much too white', 'He said come here and step into the light, he says hmm you’re right', 'Let me tell the second mother this has been done', 'But the second mother was with the seventh son']",aabb,4
141,"['He found a promoter who nearly fell off the floor', 'He said I never engaged in this kind of thing before', 'But yes I think it can be very easily done', 'We’ll just put some bleachers out in the sun\t\t\t\t\t\t \t\t\t\t\t\t ']",aabb,4
142,"['The moving finger writes, and, having writ,', 'the Book of Life is signed and sealed to fit.', 'The boast of heraldry, the pomp of power,', 'are mirage lures, poor men in shadows cower.']",aabb,4
143,"['I am here now, and gone tomorrow,', 'this vale of tears leads on to sorrow', 'though Green grow the rushes, Ho', 'from dark we spring, to darkness go']",aabb,4
144,"['So gather ye rosebuds while ye may,', 'short lived are darling buds of May.', 'Of Faith, Obedience, Sacrifice', 'naught shall remain for in a trice']",aabb,4
145,"['how tragedy and comedy embrace', 'the rise and fall of all the human race,', 'to his lamented loss, for time to come', ""the Fates bear witness, hear fear's dreaded drum.""]",aabb,4
146,"['To cease upon the midnight with no pain', 'means sods remain to never rise again,', 'for who would bear the whips and scorns of time', 'soon sinks, forgotten, corpses cannot rhyme!']",aabb,4
147,"['We have given our hearts away, a sordid boon!', ""repented soon for in Life's afternoon"", 'If we might have a second chance', ""perhaps we'd forge ahead, advance:""]",aabb,4
148,"['I shall be telling this with a sigh,', ""perhaps another road I'd try."", 'Like the leaves of the forest when Autumn hath blown,', 'my wraith may lament opportunities flown,']",aabb,4
149,"['The scent of the conifers, sound of the bath', 'no more will pour balm on my garden path.']",aabb,2
150,"['There is a sadness now in the old place', 'Much too much of a wide empty space', 'Since the family have all moved away', 'Even the black cat`s been left to stray']",aabb,4
151,"['But I still hear footsteps upon the path', 'Yet I never did see anyone visit at all', 'They have never had any visitors call', 'I shall go and take a look after my bath']",aabb,4
152,"['Or maybe I shall telephone a policeman', 'If I knew where a telephone was I can', 'I would look silly if it were just a ghost', 'Maybe I will just put some milk in a pan']",aabb,4
153,"['And do what I always like making most', 'A cup of cocoa for my next doors host.']",aabb,2
154,"['""There are two expressions, Willie, you should never use.', 'You have a tendency my dear their usage to abuse.', ""One is 'bloody awful' and the other's 'crappy', dear."", '""Oh, wow! ... so tell me Granny... these I gotta hear.""']",aabb,4
155,"['Nurse gave the twins baths on a Saturday night', 'Heard giggling before she had turned out the light', '""What were you two girls laughing about? ""', '""Just Joni bathed twice and I went without.""']",aabb,4
156,"[""He's a doer of wonderous deeds"", 'We wouldst gift him with something he needs', ""There's one thing'd be perfect perhap"", ""But a bath tub's a toughie to wrap""]",aabb,4
157,"[""How'd the two of you settle your fight if you please?"", '""She came crawling to me on her hands and her knees.""', 'It is hard for me to believe all of that.', 'She said ""Come out from under the bed, you rat!']",aabb,4
158,"['That husband of mine is a definite winner', ""If it wasn't for toothpicks he'd be lost after dinner"", 'His breakfast manners are put on display', 'Do we really need buttered-toast castles today?']",aabb,4
159,"['""There\'s a scratch on our bumper, the rear', 'It\'s in the back seat ... hello, dear? ""', ""She has fin'lly pulled out all the stops"", ""Season ticket's awarded to her by the cops""]",aabb,4
160,"[""Dotty's gone to England... she's told"", 'It is legal to drive on her side of the road', 'She backed neatly out of the garage all right', 'But she forgot she backed in last night']",aabb,4
161,"['If you would be an elephant huge and grey', ""You've also the need to be wrinkled, they say"", ""'Cause if small and white and very smooth"", 'You would then be an aspirin...trying to soothe']",aabb,4
162,"['Our summer beach camp lacked diversity', ""With nothing to do 'cept immersity"", 'It was so very dull.... alas and alack', 'The tide went out and it never came back']",aabb,4
163,"['Watching curling can be really wonderous', 'The screaming and pleading is often thunderous', ""Then there's the team makes you yammer"", 'Takingzero to retainthe hammer']",aabb,4
164,"['Pot-shotting with minimum skill', ""So boring the crowd's set to kill"", '(Seven rocks in the circle is great', 'When barely an inch can settle your fate)']",aabb,4
165,"['Alberta is running a winning streak', 'With an audience at the lowest peak.', ""Final score, typic'ly... two to one"", 'Not watching no more til something is done']",aabb,4
166,"['How much of a louse is Uncle Milty?', 'He was on jury duty... they found him guilty', 'To make sure he is always right(sheesh)', 'He is wrong with all of his might(kapish?)']",aabb,4
167,"[""I find I'm just winging it all today"", ""My wife, she's gone on a holiday""]",aabb,2
168,"['I know that she does have me under her spell', 'The one who is known as Goddess Doggerel', 'Every morning she whispers in my ear and say', 'I order you to pen more doggerel today']",aabb,4
169,"['She claims to be my friend but i know she is my foe', 'But i lack in the mental strength for to her to say no', 'So her every order i feel compelled to obey', 'One reason i cannot give penning doggerel away']",aabb,4
170,"['Her spell of addiction she has cast on me', 'And only in death of her i will be free', 'She preys on the minds of every aspiring to be poet', 'Of those who will never become worthy of literary note']",aabb,4
171,"['She pretends she is my friend though i know she is my foe', 'And i lack in the mental strength for to her to say no.']",aabb,2
172,"['Though to my reputation as a writer it has come at a cost', 'I feel grateful to doggerel without it I would feel lost', ""Though the stuff I pen won't outlive me failed by the test of time"", 'But what matter it makes me happy for to pen doggerel rhyme']",aabb,4
173,"['For many years and Seasons I have been a rhyme buff', 'And I have written one might say a lot of rhyming stuff', ""But anybody can pen rhyme 'tis easy as can be"", 'Like bill does always rhyme with hill and bee does rhyme with tree,']",aabb,4
174,"[""No two do look at life the same that's how it does seem to me"", 'Through our different eyes as the wise one said a different World we see', 'Suppose we would be boring if we all thought in the same way', 'Our different views on life makes  us interesting as some are known to say']",aabb,4
